"","Aporosa.frutescens","Campnosperma.squamatum","Gynotroches.axillaris","Gironniera.nervosa","Prunus.polystachya","Rhodamnia.cinerea","Strombosia.ceylanica","Timonius.wallichianus","Xanthophyllum.flavescens","Pometia.pinnata"
"fruit.int.dry",-2.41475966588786,-9.84223803844386,-1.06759742907048,-5.18838224215537,-7.21137506164502,-5.36058953434092,-4.3251624105854,-4.21442740776728,-7.24495547464936,-10.0680149172924
"fruit.int.wet",-3.87528419420637,-7.11356749777345,-0.928079173028771,-8.15837679436218,-9.56008387694381,-8.51139933417463,-4.22742002368405,-7.03037750589618,-6.94894068221704,-6.70344402129641
"fruit.z",2.03782678751049,2.43050633843689,1.18848734295166,1.75070357266557,2.96397439587923,2.02221592024426,2.16470236782198,2.05969586058031,2.54427053223802,2.96397439587923
"fruited.int",0.773763248474421,-1.87825630774971,3.37021035830186,-0.470035462223227,-2.20984079264464,-1.71721842391673,-1.91151316212701,0.282606844098995,-0.470035462223227,-0.470035462223227
"fruited.z",1.77306976903242,1.95565762505922,1.59430799860816,1.85870357945519,1.97848675542767,1.94457039084967,1.9579473132045,1.80688520400471,1.85870357945519,1.85870357945519
"rec.int",NA,NA,NA,-3.34983032720819,-2.93399087727128,NA,-3.62178809547079,NA,NA,-4.90943580469843
