"","Aporosa frutescens","Campnosperma squamatum","Gynotroches axillaris","Gironniera nervosa","Prunus polystachya","Rhodamnia cinerea","Strombosia ceylanica","Timonius wallichianus","Xanthophyllum flavescens","Pometia pinnata"
"fruit.int.dry",-2.41475966588786,-9.84223803844386,-1.06759742907048,-5.18838224215537,-7.21137506164502,-5.36058953434092,-4.3251624105854,-4.21442740776728,-7.24495547464936,-10.0680149172924
"fruit.int.wet",-3.87528419420637,-7.11356749777345,-0.928079173028771,-8.15837679436218,-9.56008387694381,-8.51139933417463,-4.22742002368405,-7.03037750589618,-6.94894068221704,-6.70344402129641
"fruit.z",2.03782678751049,2.43050633843689,1.18848734295166,1.75070357266557,2.96397439587923,2.02221592024426,2.16470236782198,2.05969586058031,2.54427053223802,2.96397439587923
"fruited.int",2.109691853402,0.127594878523065,5.19923985345638,1.49652728235937,0.163132798292332,1.32981409030378,-0.924265418403122,2.50215768665918,1.49652728235937,1.49652728235937
"fruited.z",1.40675176546521,1.5466394784602,1.18870501528424,1.45002623216376,1.54413136791661,1.46179211822198,1.62087516581159,1.37905324791594,1.45002623216376,1.45002623216376
"fruited.theta",0.675881952601149,0.675881952601149,0.675881952601149,0.675881952601149,0.675881952601149,0.675881952601149,0.675881952601149,0.675881952601149,0.675881952601149,0.675881952601149
