"","Intercept","h","CAE","HAE","HM","hxCAE","hxHAE","hxHM","sigma"
"Sterculia macrophylla",0.480578776862012,0.910696550140813,-0.0865547202075914,-0.0666862977844348,0.0530289181913387,0.0284884446972499,0.0348583240846332,0.00019377687959721,0.19310799101115
"Strombosia ceylanica",0.454167224169318,0.908265144003953,-0.113543822742081,-0.0962952864900123,-0.00723546857687517,0.0248820670526633,0.0294375886316612,-0.00986980116442414,0.19310799101115
"Syzygium borneense",0.457219569345609,0.908410770884827,-0.0948802370732364,-0.149405844910342,0.0534817332231538,0.02849397939028,0.0416785884295351,0.00169871647059488,0.19310799101115
"Syzygium claviflorum",0.461078293869057,0.909196658192509,-0.119801680959849,-0.187419844079331,0.0486115087293277,0.0279263942412433,0.041175395093363,0.00268039149097766,0.19310799101115
"Syzygium lineatum",0.447715923570732,0.907295138187443,-0.049554120233182,-0.0645240716129262,0.0311950356778302,0.0315689943769653,0.0393481094262542,-0.00379574516414383,0.19310799101115
"Syzygium pachyphyllum",0.455547038208512,0.908634632904876,-0.109664226018937,-0.181205244369937,0.061345529557043,0.0288410526481343,0.04110008362759,0.004595659336383,0.19310799101115
"Timonius wallichianus",0.445030562577758,0.907081789880705,-0.0776004043176175,-0.347521212764453,0.156738234242066,0.0289916095945701,0.0574580076741833,0.0183425294253571,0.19310799101115
"Xanthophyllum flavescens",0.452455616446713,0.908797710897721,-0.122551111537491,-0.143794188777203,0.022148174376148,0.0272245036400932,0.0320268772412623,0.000109784452840465,0.19310799101115
"Xylopia malayana",0.460244608065417,0.909028326591342,-0.100043557741025,-0.139883881747443,0.0783961109093539,0.0278615595030447,0.0366797256763299,0.00926104936465362,0.19310799101115
"All other.spp",0.443114088622781,0.908545148497336,-0.0885703622695619,-0.135362545967927,0.0141873587299161,0.0263955637164162,0.0294385814340019,0.0112323652056459,0.19310799101115
"population",0.455380653097379,0.90858625844582,-0.101282959760219,-0.162472235795994,0.0561238777728493,0.0283326449237928,0.0398226621692158,0.00306754026732651,0.19310799101115
