"","Alstonia angustifolia","Aporosa frutescens","Aporosa lucida","Archidendron clypearia","Baccaurea bracteata","Bhesa paniculata","Calophyllum rufigemmatum","Campnosperma squamatum","Carallia brachiata","Elaeocarpus mastersii","Garcinia parvifolia","Gironniera nervosa","Gluta wallichii","Gynotroches axillaris","Knema malayana","Macaranga bancana","Pellacalyx axillaris","Pometia pinnata","Prunus polystachya","Pternandra coerulescens","Pternandra echinata","Strombosia ceylanica","Syzygium pachyphyllum","Timonius flavescens","Timonius wallichianus","Xanthophyllum flavescens","All other spp"
"tran.int",-6.55361122756407,-2.78243992356322,-5.45365673448619,-7.29300897655984,-3.9381450176288,-4.7257534391276,-8.75934990478299,-4.5434246492917,-2.31804711731234,-6.83210429825008,-9.16051407898232,-6.84600219954053,-4.80229990025257,-5.55618200538764,-6.84987418646021,-2.95898766394364,-5.93076693662578,-4.88604346688782,-4.42608859797675,-5.51333615184285,-6.32504675385545,-5.02862322916269,-3.37484978006761,-5.44128565826047,-6.91340966754809,-5.42703967920345,-5.48614966325504
"tran.h",1.19345495727691,0.490555744875475,0.994798825680995,1.363753695666,0.726443801979362,0.890250255324278,1.61053330777459,0.92771457696672,0.405108268954338,1.23379974117067,1.72015091758063,1.28027544699517,0.93328087082134,1.01133906084495,1.24222759107562,0.539458495916356,1.10579809164195,0.895295199536967,0.795654419492527,1.01836359137988,1.1516744602606,0.901147001486733,0.638622500027829,0.979709350759555,1.24559466527315,1.00910787205261,1.01169664272414
"tran.sd",0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948,0.167320184496948
