"","S","L","rcsz","rcsd"
"Alstonia.angustifolia",4.27556383948548,27.759760545823,3.1814223291325,0.649574608301045
"Elaeocarpus.mastersii",9.42916179883137,26.95534869413,2.56251999154446,0.428489372917591
"Gironniera.nervosa",4.93451567141711,27.8622568202673,2.91796660089213,0.603111449010249
"Pometia.pinnata",4.78321067319603,27.6061349231007,3.11244087192862,0.35049071930783
"Prunus.polystachya",5.68361546066867,27.6994308505211,3.06200064087709,0.280654827038099
"Strombosia.ceylanica",9.6139035652618,26.9084078951842,2.65649083515998,0.421155450445661
