"","Alstonia angustifolia","Aporosa frutescens","Aporosa lucida","Archidendron clypearia","Baccaurea bracteata","Bhesa paniculata","Calophyllum rufigemmatum","Campnosperma squamatum","Carallia brachiata","Champereia manillana","Elaeocarpus mastersii","Garcinia parvifolia","Gironniera nervosa","Gluta wallichii","Gynotroches axillaris","Horsfieldia polyspherula","Knema malayana","Macaranga bancana","Pellacalyx axillaris","Pometia pinnata","Prunus polystachya","Pternandra coerulescens","Pternandra echinata","Santiria apiculata","Strombosia ceylanica","Syzygium pachyphyllum","Timonius flavescens","Timonius wallichianus","Xanthophyllum flavescens","All other spp"
"tran.int",-6.62495903553929,-1.07247419286952,-5.15961544145806,-7.5016672265226,-3.6815209862122,-4.5886710538464,-8.87382721874257,-4.46739039543249,-1.70273351587287,-6.98802608933523,-7.02641636141354,-9.39497172956154,-6.86974014235705,-4.62487596741106,-5.43425642614699,-2.45665914006152,-6.92215718151237,-2.4095024571154,-5.77632615991233,-4.81607882319149,-2.99119064376892,-5.37714945376952,-6.23492674090219,-5.36518708215,-4.83424569807413,-2.99233496559506,-5.41534807237298,-6.85638815588413,-5.1763933200113,-5.22879426471863
"tran.h",1.2064178553014,0.18199250978007,0.939394756811943,1.40051410231193,0.67526891800367,0.862608294974123,1.63253095915668,0.913063814638875,0.288062887047515,1.25896657999752,1.2707094576099,1.7638125371107,1.28419601250611,0.898429186344836,0.98834154311158,0.452384354283486,1.25474498985771,0.434216837554846,1.07462257323475,0.882283447604501,0.527715279270132,0.993135668319494,1.13417800094309,0.985735896190297,0.864120748368481,0.565760234769249,0.975705743140902,1.23538398881336,0.961270399060065,0.962260950899289
"tran.sd",0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022,0.170236715251022
